A3IJDWW3VVLF3G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1MAI0TUIM3R2X,0.444444444,0,0,0,0,0,0.013781223,0.148148148,0,0.124756335,0,0,0.592592593,0,0,0,0,0,0.006371963,0,0,0,0,0,0.015594542,0,0.034858388
A13W5DGU9QF721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1FQAVH5JBSV6A,0,0.426666667,0,0.007356322,0,0,0.00496124,0.106666667,0,0,0,0.127251462,0.213333333,0,0,0,0,0,0.082580645,0.118153846,0.152380952,0,0,0.031604938,0.095438596,0.051717172,0
ARBTDVJ9WFQF3,0,0,0.032906764,0.122549329,0.065813528,0,0.073466264,0.230347349,0,0.048494179,0,0.177811989,0.230347349,0,0,0,0,0,0.134457746,0.182252848,0.423086968,0,0,0.234003656,0.117771577,0.031909589,0.007742768
AWU327MCNG1RA,0,0,0.609756098,0,0,0,0.181508792,0,0,0.102695764,0,0.136927685,0,0,0,0,0,0,0.08392342,0.120075047,0.139372822,0,0,0.144534779,0.102695764,0.236511456,0
A3PKEESMDGOUPB,0,0,0.217391304,0.059970015,0.326086957,0,0.242669363,0,0,0.160183066,0,0.183066362,0.217391304,0,0,0,0,0,0.112201964,0.160535117,0.155279503,0,0,0.193236715,0.205949657,0.263504611,0
A24PPFTDRWF99X,0,0,0.264150943,0,0.924528302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A30HNTDC89YKHP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A25SJN9J5O480S,0,0,0.153846154,0,0,0,0.057245081,0.153846154,0,0.032388664,0,0.172739541,0,0,0,0,0,0,0.105872622,0.15147929,0.571428571,0,0,0.045584046,0.032388664,0.074592075,0
APY15SD1DM0LQ,0,0,0.311688312,0,0.311688312,0,0,0,0,0,0,0.065618592,0,0,0,0,0.467532468,0,0.040217847,0.057542458,0.066790353,0,0,0,0.049213944,0.028335301,0
A1KFBF9Z7LTBMG,0,0,0.8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1LLNE2XPNNNYV,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2SYK4PSSW3W9E,0,0,0.8,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
